Key	Type	Desc	Chinese (Simplified)	English	French	German	Spanish	Portuguese (Brazil)	Russian	Italian	Japanese	Korean	Chinese (Traditional)	Indonesian											
_CurrentLanguageLocalizedName	base	0	中文	English	Français	Deutsch	Español	Português	Русский	Italiano	日本語	한국어	繁體中文	Indonesia											
Obj/Name/Blender_1	base	0	茶筅	Chasen	Fouet	Teebesen	Batidor Simple	Chasen	Венчик	Frullino	茶せん	체이슨	茶筅	Pengocok teh											
Obj/Name/Blender_2	base	0	漏勺	Sieve	Passoire	Sieb	Colador	Peneira	Сито	Colino	ふるい	체	篩子	Saringan											
Obj/Name/Blender_3	base	0	不锈钢搅拌器	Steel Whisk	Fouet en acier	Schneebesen	Batidor de acero	Vara de Arames	Стальной венчик	Frusta d'acciaio	泡立て器	철제 거품기	不銹鋼攪拌器	Pengaduk stainless steel											
Obj/Name/Blender_4	base	0	转轮式搅拌器	Rotary Whisk	Fouet rotatif	Rotierender Schneebesen	Batidor giratorio	Batedeira Manual	Роторный венчик	Frusta automatica	主導泡立て器	회전식 거품기	轉輪式攪拌器	Pengaduk Roda											
Obj/Name/Blender_5	base	0	揉面团机	Dough Maker	Machine à pâte	Teigkneter	Amasadora	Amassadeira	Тестомес	Impastatrice	パンこね機	반죽 제조기	揉麵團機	Pengaduk adonan											
Obj/Name/Blender_6	base	0	复古搅拌机	Retro Mixer	Mixeur retro	Retro Mixer	Batidora retro	Misturadora Rétro	Ретро миксер	Mixer rétro	レトロなミキサー	레트로 믹서	復古攪拌機	Blender retro											
Obj/Name/Blender_7	base	0	锅式搅拌机	Mixer with Pan	Mixeur avec casserole	Mixer mit Schale	Batidora con vaso	Misturadora com Recipiente	Миксер с миской	Mixer con pentolino	自動パンこね機	냄비가 있는 믹서	鍋式攪拌機	Pencampur panci											
Obj/Name/Blender_8	base	0	现代搅拌器	Modern Whisk	Fouet moderne	Moderner Schneebesen	Batidor moderno	Batedeira Moderna	Блендер	Mixer moderno	モダンな泡立て器	최신형 거품기	現代攪拌器	Pencampur modern											
Obj/Name/Blender_9	base	0	自动搅拌器	Compact Processor	Robot de cuisine compact	Kompaktmixer	Procesador compacto	Processador de Alimentos Compacto	Компактный комбайн	Tritatutto compatto	コンパクトなプロセッサー	소형 푸드 프로세서	自動攪拌器	Pengaduk otomatis											
Obj/Name/Blender_10	base	0	全能搅拌器	Big Food Processor	Grand robot de cuisine	Große Küchenmaschine	Procesador grande	Processador de Alimentos Grande	Большой комбайн	Robot da cucina grande	大きなフードプロセッサー	대형 푸드 프로세서	全能攪拌器	Blender Serba Guna											
Obj/Desc/BlenderGenerally	base	0	搅拌机，通过合成可以创造更高一级的搅拌机。	Blender.MERGE to reach its next level.	Mixeur.FUSIONNEZ pour atteindre le niveau suivant.	"Standmixer.KOMBINIEREN, um nächstes Level zu erreichen."	Licuadora.FUSIONA para llegar al siguiente nivel.	Liquidificador.COMBINE para alcançar o próximo nível.	"Блендер.СЛИВАЙТЕСЬ, чтобы достичь следующего уровня."	Miscelatore.ABBINA per raggiungere il livello successivo.	ミキサー.同じコマを合成することでレベルアップします。	블렌더.같은 아이템을 합성해 레벨업할 수 있어요.	攪拌機，通過合成可以創造更高一級的攪拌機。	"Blender, blender tingkat yang lebih tinggi dapat dibuat melalui sintesis."											
